Logical Entity,Physical HANA Table,Column,Data Type,Primary Key,Nullable,Default,Relationship / Target,Business Purpose,Owner,Retention,CDS / Model Source,Database Evidence
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,ID,NVARCHAR(36),YES,NO,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,createdAt,TIMESTAMP,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,modifiedAt,TIMESTAMP,NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,bug_ID,NVARCHAR(36),NO,YES,,idts.cap.Bugs.ID,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,featureType_code,NVARCHAR(40),NO,YES,,idts.cap.AiSuggestionFeatureTypes.code,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,featureTypeName,NVARCHAR(120),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,requestedBy_ID,NVARCHAR(36),NO,YES,,idts.cap.Users.ID,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,requestedByDisplayName,NVARCHAR(120),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,providerAlias,NVARCHAR(80),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
BugService.AiSuggestions (draft),BugService_AiSuggestions_drafts,modelAlias,NVARCHAR(80),NO,YES,,,CAP draft persistence for AI suggestion review data exposed through BugService.,CAP runtime / DonHV technical governance,"Temporary draft lifecycle; removed by activation, cancellation or draft cleanup.",srv/service.cds: BugService.AiSuggestions with @odata.draft.enabled,Production-style cds build --production artifact BugService.AiSuggestions_drafts.hdbtable; reconciled with sanitized live HANA metadata in hana-production-readback-20260803.md.
